,EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,OCCGROUP,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,PWDALLCOUNT,VISMINALLCOUNT
367654,The St. Lawrence Seaway Management Corporation,2018,Full-Time,Provincial,Québec,Overall,166,135,31,2,6,4
367781,The Toronto Terminals Railway Company Limited,2018,Full-Time,Provincial,Ontario,Overall,152,144,8,1,1,39
367892,The Toronto-Dominion Bank,2018,Full-Time,Provincial,Ontario,Overall,36523,17547,18976,414,3062,14748
367929,The Toronto-Dominion Bank,2018,Full-Time,Provincial,Québec,Overall,2484,1133,1351,26,111,608
367966,The Toronto-Dominion Bank,2018,Full-Time,Provincial,Nova Scotia,Overall,341,134,207,8,31,45
367995,The Toronto-Dominion Bank,2018,Full-Time,Provincial,New Brunswick,Overall,207,87,120,4,18,23
368020,The Toronto-Dominion Bank,2018,Full-Time,Provincial,Manitoba,Overall,395,160,235,27,38,104
368049,The Toronto-Dominion Bank,2018,Full-Time,Provincial,British Columbia,Overall,2966,1274,1692,56,207,1234
368082,The Toronto-Dominion Bank,2018,Full-Time,Provincial,Saskatchewan,Overall,475,193,282,8,30,74
368115,The Toronto-Dominion Bank,2018,Full-Time,Provincial,Alberta,Overall,2734,1118,1616,75,233,934
368152,The Toronto-Dominion Bank,2018,Full-Time,Provincial,Newfoundland and Labrador,Overall,107,41,66,8,10,14
368482,The Toronto-Dominion Bank,2018,Part-Time,Provincial,Ontario,Overall,6415,2060,4355,95,523,2264
368519,The Toronto-Dominion Bank,2018,Part-Time,Provincial,Québec,Overall,954,358,596,7,42,294
368544,The Toronto-Dominion Bank,2018,Part-Time,Provincial,Nova Scotia,Overall,106,34,72,0,6,25
368569,The Toronto-Dominion Bank,2018,Part-Time,Provincial,New Brunswick,Overall,72,15,57,2,6,14
368582,The Toronto-Dominion Bank,2018,Part-Time,Provincial,Manitoba,Overall,175,50,125,10,18,66
368603,The Toronto-Dominion Bank,2018,Part-Time,Provincial,British Columbia,Overall,1181,374,807,29,84,489
368628,The Toronto-Dominion Bank,2018,Part-Time,Provincial,Saskatchewan,Overall,131,24,107,3,9,34
368649,The Toronto-Dominion Bank,2018,Part-Time,Provincial,Alberta,Overall,942,195,747,29,76,331
368674,The Toronto-Dominion Bank,2018,Part-Time,Provincial,Newfoundland and Labrador,Overall,34,8,26,3,0,5
368920,Theratronics International Limited,2018,Full-Time,Provincial,Ontario,Overall,128,104,24,0,0,0
368978,Theratronics International Limited,2018,Part-Time,Provincial,Ontario,Overall,2,1,1,0,0,0
369045,Thunder Airlines Limited,2018,Full-Time,Provincial,Ontario,Overall,111,87,24,7,2,6
369091,Thunder Airlines Limited,2018,Part-Time,Provincial,Ontario,Overall,13,9,4,4,0,1
369142,Titanium Transportation Group Inc.,2018,Full-Time,Provincial,Ontario,Overall,267,258,9,30,0,9
369201,Top Aces Inc.,2018,Full-Time,Provincial,Québec,Overall,116,85,31,2,0,6
369259,Top Aces Inc.,2018,Part-Time,Provincial,Québec,Overall,4,3,1,1,0,0
369317,Toronto Port Authority,2018,Full-Time,Provincial,Ontario,Overall,145,120,25,1,2,19
369460,Total Oilfield Rentals Ltd,2018,Full-Time,Provincial,Alberta,Overall,227,193,34,10,0,10
369510,Total Oilfield Rentals Ltd,2018,Part-Time,Provincial,Alberta,Overall,1,0,1,0,0,0
369544,Trac-World Freight Services Inc.,2018,Full-Time,Provincial,Québec,Overall,92,78,14,0,1,5
369627,Trailwood Transport Ltd.,2018,Full-Time,Provincial,Ontario,Overall,109,93,16,0,0,0
369657,Trailwood Transport Ltd.,2018,Part-Time,Provincial,Ontario,Overall,2,2,0,0,0,0
369703,Trans Mountain Canada Inc.,2018,Full-Time,Provincial,British Columbia,Overall,90,77,13,2,0,7
369744,Trans Mountain Canada Inc.,2018,Full-Time,Provincial,Alberta,Overall,238,152,86,6,4,44
369976,Trans-Sol Aviation Service Inc.,2018,Full-Time,Provincial,Québec,Overall,511,336,175,0,0,0
370063,Trans-Sol Aviation Service Inc.,2018,Part-Time,Provincial,Québec,Overall,194,102,92,0,0,0
370162,TransCanada Pipelines Limited,2018,Full-Time,Provincial,Ontario,Overall,273,228,45,15,5,26
370199,TransCanada Pipelines Limited,2018,Full-Time,Provincial,Alberta,Overall,2990,1873,1117,65,103,683
370347,TransCanada Pipelines Limited,2018,Part-Time,Provincial,Ontario,Overall,1,1,0,0,0,1
370352,TransCanada Pipelines Limited,2018,Part-Time,Provincial,Alberta,Overall,56,3,53,3,2,8
370420,Transit Logistics Solutions Inc.,2018,Full-Time,Provincial,Ontario,Overall,88,80,8,0,0,0
370450,Transit Logistics Solutions Inc.,2018,Part-Time,Provincial,Ontario,Overall,4,3,1,0,0,0
370512,Transit Windsor,2018,Full-Time,Provincial,Ontario,Overall,254,172,82,2,8,24
370574,Transit Windsor,2018,Part-Time,Provincial,Ontario,Overall,9,2,7,0,0,1
370605,Transport Bellemare International,2018,Full-Time,Provincial,Québec,Overall,156,139,17,0,1,2
370623,Transport Bellemare International,2018,Part-Time,Provincial,Québec,Overall,6,4,2,0,0,0
370665,Transport Bernières inc. (Groupe Bernières),2018,Full-Time,Provincial,Québec,Overall,113,98,15,3,1,4
370715,Transport Bernières inc. (Groupe Bernières),2018,Part-Time,Provincial,Québec,Overall,43,41,2,1,0,0
370785,Transport Bourret inc.,2018,Full-Time,Provincial,Québec,Overall,445,351,94,0,1,2
370908,Transport Bourret inc.,2018,Part-Time,Provincial,Québec,Overall,38,30,8,0,0,0
370983,Transport Couture,2018,Full-Time,Provincial,Québec,Overall,120,102,18,0,0,2
371078,Transport Couture,2018,Part-Time,Provincial,Québec,Overall,10,9,1,0,0,0
371129,Transport Gaston Nadeau Inc.,2018,Full-Time,Provincial,Québec,Overall,102,80,22,0,0,0
371163,Transport Gaston Nadeau Inc.,2018,Part-Time,Provincial,Québec,Overall,14,11,3,0,0,0
371177,Transport Gaston Nadeau Inc.,2018,Temporary,Provincial,Québec,Overall,30,30,0,0,0,0
371219,Transport Gilmyr inc,2018,Full-Time,Provincial,Québec,Overall,165,134,31,1,3,2
371273,Transport Gilmyr inc,2018,Part-Time,Provincial,Québec,Overall,32,25,7,0,0,2
371315,Transport Grayson Inc.,2018,Full-Time,Provincial,Québec,Overall,136,112,24,0,0,1
